L_id	headword	headword_slp1	root	root_slp1	prefixes	karaka	karaka_sense	affix	affix_slp1	group	anubandha	anubandha_steps	affix_source	context
6	aṃśaḥ	aMSaH				karmaRi	object (karmaṇi)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	¦, puM, (aMSa viBAjane, adantacurAdiH . karmmaRi GaY .) v
74	akūpāra	akUpAra				karmaRi	object (karmaṇi)	aṇ	aR	Relational / patronymic	taddhita affix 'aṇ' -> -a; patronymic / relational (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117)	ṇ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	ti iti kUpAraH . pF pAlana- pfraRayoH . karmmaRi aR . an
86	akoṭaḥ	akowaH	kuṭa	kuwa	na	BAve	action / abstract (bhāve)	ghañ	GaY	Action / result noun	kṛt affix 'ghañ' -> -a; action/result noun (bhāva, vṛddhi) | anubandha: git: treated as nit -> blocks guna/vrddhi (1.1.5); nit (n~): causes adi-vrddhi of the base (7.2.117) and svarita/ubhayapada	gh = it (initial) ; ñ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	akowaH¦, puM, (na + kuwa + BAve GaY .) g
90	aktaḥ	aktaH				karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	taH .. anaj vyaktigatimrakzaRe ityasmAt karmmaRi ktaH . ya
112	akṣataḥ	akzataH				karmaRi	object (karmaṇi)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	sare AjAH puM BUmnite'kzatamiti paWitvA karmmaRi ktaH . kz
240	agnimanthaḥ	agnimanTaH				karmaRi	object (karmaṇi)	aṇ	aR	Relational / patronymic	taddhita affix 'aṇ' -> -a; patronymic / relational (vṛddhi) | anubandha: nit (.n): causes vrddhi of the base vowel (7.2.115-117)	ṇ = it (→ vṛddhi) ; → -a	Apte-SH(affix_map.tsv)	(agniM maTnAti iti . manTa vilo- qane . karmmaRi aR .) g
272	agnīndhanaṃ	agnInDanaM	indh	inD	agni	karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	naM¦, klI, (agnO inDanam . agni + inD + karaRe lyuw .) a
283	agrajanmā	agrajanmA	jan	jan		BAve	action / abstract (bhāve)	manin	manin	Uṇādi formation	uṇādi affix 'manin' -> -man; Uṇādi noun ('-man') | anubandha: n indicatory; Uṇādi affix		WIL	agre janma yasya sa bahuvrIhiH,) (jan + BAve manin) brA
284	agrajātakaḥ	agrajAtakaH	jan	jan		BAve	action / abstract (bhāve)	kta	kta	Participle	kṛt affix 'kta' -> -ta; past passive participle | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it (P.1.3.8) ; → surface -ta	Apte-SH(affix_map.tsv)	jAtaM janma yasya sa bahuvrIhiH, (jan + BAve ktaH) brA
285	agrajātiḥ	agrajAtiH	jan	jan		BAve	action / abstract (bhāve)	ktin	ktin	Action / result noun	kṛt affix 'ktin' -> -ti; action noun (fem. -ti) | anubandha: kit: blocks guna/vrddhi of the root vowel (1.1.5 kniti ca); tit: svarita accent on the affix (6.1.185)	k = it ; n = it ; → -ti	Apte-SH(affix_map.tsv)	puM, (agre jAtirjanma yasya saH) (jan + BAve ktin) brA
294	agrasandhānī	agrasanDAnI			agra sam	karaRe	instrument (karaṇe)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	nvizyate kAryyamanayA agra + sam + DA + karaRe lyuw stri
311	agresarikaḥ	agresarikaH	sṛ	sf	agre	BAve	action / abstract (bhāve)	ap	ap	Agent — the doer	kṛt affix 'ap' -> -a; action / agent noun | anubandha: p = pit -> anudātta affix (3.1.4)		WIL	, tri, (agresaraRaM gamanam agre + sf + BAve ap agre
328	aṅkanaṃ	aNkanaM	aṅka	aNka		BAve	action / abstract (bhāve)	lyuṭ	lyuw	Action / result noun	kṛt affix 'lyuṭ' -> -ana; action / instrument noun | anubandha: lit: acute on the vowel just before the it-letter (6.1.193); indicatory u: distinguishes the affix; conditions i.t in some forms; tit (.t): feminine is formed with nip -i (4.1.15)	l = it ; ṭ = it ; yu → ana (P.7.1.1) ; → -ana	Apte-SH(affix_map.tsv)	aNkanaM¦, klI, (aNka + Ric BAve lyuw) saN
